שם ישוב,סוג הישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,Multiplier (85% turnout),מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,% Arab parties
אבו עבדון (שבט),ערבי,958,138,12,0,12,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9.7750,117,0,117,0,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,41.67%
אבו קורינאת (שבט),ערבי,968,2927,640,11,629,8,0,433,34,0,0,0,0,0,3,0,0,0,1,1,0,2,8,22,1,4,0,0,1,0,0,1,91,1,0,0,1,5,0,1,0,0,1,2,1,3,2,2,3.8874,2488,43,2445,31,0,1683,132,0,0,0,0,0,12,0,0,0,4,4,0,8,31,86,4,16,0,0,4,0,0,4,354,4,0,0,4,19,0,4,0,0,4,8,4,12,8,8,72.97%
אבו קרינאת (יישוב),ערבי,1342,543,213,4,209,0,0,82,24,0,0,0,0,0,1,0,0,0,1,0,0,0,3,15,2,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.1669,462,9,453,0,0,178,52,0,0,0,0,0,2,0,0,0,2,0,0,0,7,33,4,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,49.77%
אבו רובייעה (שבט),ערבי,966,3919,761,8,753,24,0,517,70,2,0,1,0,3,0,1,1,1,0,6,0,0,5,30,5,1,0,4,0,0,1,0,64,1,0,0,2,0,4,0,0,1,1,0,2,0,2,4,4.3773,3331,35,3296,105,0,2263,306,9,0,4,0,13,0,4,4,4,0,26,0,0,22,131,22,4,0,18,0,0,4,0,280,4,0,0,9,0,18,0,0,4,4,0,9,0,9,18,77.14%
אבו רוקייק (שבט),ערבי,961,4691,1129,13,1116,2,3,1007,18,1,0,0,0,0,0,0,0,0,0,1,1,0,10,28,3,1,0,1,0,0,0,0,26,1,0,0,1,0,1,2,0,2,0,2,0,0,2,3,3.5318,3987,46,3941,7,11,3556,64,4,0,0,0,0,0,0,0,0,0,4,4,0,35,99,11,4,0,4,0,0,0,0,92,4,0,0,4,0,4,7,0,7,0,7,0,0,7,11,90.79%
אבו תלול,ערבי,1375,867,390,4,386,0,0,355,10,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,1,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.8896,737,8,729,0,0,671,19,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,0,0,0,2,0,4,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,93.59%
אבטין,ערבי,652,1774,645,18,627,7,0,207,144,1,1,0,0,0,0,0,0,0,0,5,0,0,10,22,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0,1,3,151,2.3378,1508,42,1466,16,0,484,337,2,2,0,0,0,0,0,0,0,0,12,0,0,23,51,0,0,0,0,0,0,0,0,173,0,0,0,0,0,2,0,0,0,0,0,0,2,7,353,54.42%
אום אל-פחם,ערבי,2710,34720,15671,138,15533,25,2,1911,12381,1,0,2,0,2,6,2,3,0,2,154,2,3,39,797,4,1,0,2,3,3,1,1,111,1,9,2,3,0,3,3,0,2,1,4,2,6,15,24,1.8832,29512,260,29252,47,4,3599,23316,2,0,4,0,4,11,4,6,0,4,290,4,6,73,1501,8,2,0,4,6,6,2,2,209,2,17,4,6,0,6,6,0,4,2,8,4,11,28,45,91.20%
אום אל-קוטוף,ערבי,2024,693,363,1,362,3,0,107,113,0,0,0,0,0,1,0,0,0,0,0,0,0,3,78,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.6227,589,2,587,5,0,174,183,0,0,0,0,0,2,0,0,0,0,0,0,0,5,127,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60.61%
אום בטין,ערבי,1358,1920,647,13,634,2,0,504,53,0,2,0,0,0,1,0,0,0,0,0,0,0,9,20,5,0,0,1,1,0,1,0,22,0,0,1,3,1,4,0,0,1,0,0,1,0,0,2,2.5224,1632,33,1599,5,0,1271,134,0,5,0,0,0,3,0,0,0,0,0,0,0,23,50,13,0,0,3,3,0,3,0,55,0,0,3,8,3,10,0,0,3,0,0,3,0,0,5,86.09%
